X,Y
1711357200.0,255650.0
1727146800.0,1740.0
1727157600.0,455693.0
1727168400.0,1449588.0
1727179200.0,1011362.0
1727190000.0,711124.0
1727200800.0,25752.0
1727211600.0,102429.0
1727222400.0,2525879.0
1727233200.0,9960.0
1727244000.0,7800793.0
1727254800.0,816773.0
1727265600.0,391552.0
1727276400.0,308684.0
1727287200.0,50536.0
1727319600.0,1152.0
1727341200.0,126008.0
1727362800.0,748056.0
1727373600.0,16572.0
1727427600.0,261924.0
1727438400.0,162847.0
1727449200.0,712982.0
1727460000.0,136192.0
1727524800.0,45375.0
1727535600.0,466651.0
1727546400.0,38365.0
1727665200.0,1517.0
1727676000.0,506203.0
1727686800.0,1772471.0
1727697600.0,91623.0
1727708400.0,211337.0
1727730000.0,206479.0
1727751600.0,2270.0
1727762400.0,6284027.0
1727773200.0,4732630.0
1727784000.0,295219.0
1727794800.0,1086217.0
1727805600.0,52382.0
1727816400.0,161869.0
1727827200.0,1236.0
1727848800.0,56562.0
1727859600.0,523838.0
1727870400.0,608344.0
1727881200.0,89629.0
1727924400.0,13535.0
1727946000.0,247481.0
1728010800.0,1517.0
1728021600.0,327979.0
1728064800.0,58197.0
1728075600.0,442168.0
1728086400.0,13392.0
1728097200.0,1814.0
1728118800.0,197549.0
1728129600.0,29389.0
1728140400.0,49928.0
1728151200.0,337630.0
1728162000.0,36367.0
1728172800.0,161761.0
1728183600.0,1072.0
1728270000.0,14740.0
1728280800.0,300802.0
1728291600.0,272153.0
1728302400.0,728717.0
1728313200.0,609405.0
1728324000.0,56929.0
1728367200.0,59905.0
1728378000.0,239199.0
1728388800.0,134320.0
1728399600.0,435689.0
1728410400.0,20081.0
1728442800.0,30137.0
1728453600.0,311754.0
1728464400.0,77588.0
1728540000.0,75888.0
1728561600.0,518979.0
1728583200.0,33117.0
1728626400.0,44522.0
1728637200.0,2826390.0
1728648000.0,377370.0
1728658800.0,136286.0
1728669600.0,27330.0
1728680400.0,50758.0
1728691200.0,189417.0
1728702000.0,11016.0
1734966000.0,3233015.0
